,time_idx,date,value,S,I,PopN,Region,series
0,0,2021-01-18,0.0,1513508,0.0,1515000,강원,0
1,1,2021-01-19,16.015941940889018,1513492,1.0,1515000,강원,0
2,2,2021-01-20,0.0,1513483,0.0,1515000,강원,0
3,3,2021-01-21,0.0,1513477,0.0,1515000,강원,0
4,4,2021-01-22,0.0,1513469,0.0,1515000,강원,0
5,5,2021-01-23,0.0,1513464,0.0,1515000,강원,0
6,6,2021-01-24,0.0,1513453,0.0,1515000,강원,0
7,7,2021-01-25,0.0,1513450,0.0,1515000,강원,0
8,8,2021-01-26,21.02209054002622,1513408,2.0,1515000,강원,0
9,9,2021-01-27,18.019149062700297,1513390,1.0,1515000,강원,0
10,10,2021-01-28,0.0,1513384,0.0,1515000,강원,0
11,11,2021-01-29,0.0,1513377,0.0,1515000,강원,0
12,12,2021-01-30,0.0,1513374,0.0,1515000,강원,0
13,13,2021-01-31,0.0,1513368,0.0,1515000,강원,0
14,14,2021-02-01,0.0,1513360,0.0,1515000,강원,0
15,15,2021-02-02,0.0,1513353,0.0,1515000,강원,0
16,16,2021-02-03,0.0,1513348,0.0,1515000,강원,0
17,17,2021-02-04,0.0,1513340,0.0,1515000,강원,0
18,18,2021-02-05,0.0,1513335,0.0,1515000,강원,0
19,19,2021-02-06,0.0,1513334,0.0,1515000,강원,0
20,20,2021-02-07,0.0,1513329,0.0,1515000,강원,0
21,21,2021-02-08,0.0,1513325,0.0,1515000,강원,0
22,22,2021-02-09,0.0,1513322,0.0,1515000,강원,0
23,23,2021-02-10,0.0,1513317,0.0,1515000,강원,0
24,24,2021-02-11,11.01231343826034,1513306,1.0,1515000,강원,0
25,25,2021-02-12,0.0,1513300,0.0,1515000,강원,0
26,26,2021-02-13,0.0,1513298,0.0,1515000,강원,0
27,27,2021-02-14,0.0,1513293,0.0,1515000,강원,0
28,28,2021-02-15,0.0,1513292,0.0,1515000,강원,0
29,29,2021-02-16,0.0,1513288,0.0,1515000,강원,0
30,30,2021-02-17,0.0,1513285,0.0,1515000,강원,0
