,time_idx,date,value,S,I,PopN,Region,series
0,0,2021-10-04,1.0042223739419207,1508630,37.0,1515000,강원,0
1,1,2021-10-05,1.0042383498408465,1508606,24.0,1515000,강원,0
2,2,2021-10-06,1.004258986129294,1508575,31.0,1515000,강원,0
3,3,2021-10-07,1.0042782918121158,1508546,29.0,1515000,강원,0
4,4,2021-10-08,1.0042995954959648,1508514,32.0,1515000,강원,0
5,5,2021-10-09,1.0043182369607673,1508486,28.0,1515000,강원,0
6,6,2021-10-10,1.004330221125009,1508468,18.0,1515000,강원,0
7,7,2021-10-11,1.0043415397649642,1508451,17.0,1515000,강원,0
8,8,2021-10-12,1.0043601827869235,1508423,28.0,1515000,강원,0
9,9,2021-10-13,1.0043715021022193,1508406,17.0,1515000,강원,0
10,10,2021-10-14,1.0043861510066403,1508384,22.0,1515000,강원,0
11,11,2021-10-15,1.0044001344503943,1508363,21.0,1515000,강원,0
12,12,2021-10-16,1.0044127864731125,1508344,19.0,1515000,강원,0
13,13,2021-10-17,1.0044287684311022,1508320,24.0,1515000,강원,0
14,14,2021-10-18,1.0044340958634552,1508312,8.0,1515000,강원,0
15,15,2021-10-19,1.0044387574131226,1508305,7.0,1515000,강원,0
16,16,2021-10-20,1.004456738081441,1508278,27.0,1515000,강원,0
17,17,2021-10-21,1.0044773833463616,1508247,31.0,1515000,강원,0
18,18,2021-10-22,1.0044893713089988,1508229,18.0,1515000,강원,0
19,19,2021-10-23,1.0045026916030868,1508209,20.0,1515000,강원,0
20,20,2021-10-24,1.004511349983689,1508196,13.0,1515000,강원,0
21,21,2021-10-25,1.0045246708606954,1508176,20.0,1515000,강원,0
22,22,2021-10-26,1.004540656379463,1508152,24.0,1515000,강원,0
23,23,2021-10-27,1.004553311942647,1508133,19.0,1515000,강원,0
24,24,2021-10-28,1.0045679661510327,1508111,22.0,1515000,강원,0
25,25,2021-10-29,1.0045819546578785,1508090,21.0,1515000,강원,0
26,26,2021-10-30,1.0045986081501792,1508065,25.0,1515000,강원,0
27,27,2021-10-31,1.00461392985076,1508042,23.0,1515000,강원,0
28,28,2021-11-01,1.0046225901491284,1508029,13.0,1515000,강원,0
29,29,2021-11-02,1.0046419098143236,1508000,29.0,1515000,강원,0
30,30,2021-11-03,1.004661230222597,1507971,29.0,1515000,강원,0
31,31,2021-11-04,1.0046872140123029,1507932,39.0,1515000,강원,0
32,32,2021-11-05,1.0047018721276468,1507910,22.0,1515000,강원,0
33,33,2021-11-06,1.0047298569901344,1507868,42.0,1515000,강원,0
34,34,2021-11-07,1.0047571770501522,1507827,41.0,1515000,강원,0
35,35,2021-11-08,1.0047771682792843,1507797,30.0,1515000,강원,0
36,0,2021-10-04,1.0105509941431616,13315287,528.0,13405000,경기,1
37,1,2021-10-05,1.0088089860427256,13314791,495.0,13405000,경기,1
38,2,2021-10-06,1.008309324448417,13314111,679.0,13405000,경기,1
39,3,2021-10-07,1.0080767712525147,13313261,849.0,13405000,경기,1
40,4,2021-10-08,1.0082884852100176,13312509,751.0,13405000,경기,1
41,5,2021-10-09,1.0069952553658836,13311880,629.0,13405000,경기,1
42,6,2021-10-10,1.007036181709443,13311339,541.0,13405000,경기,1
43,7,2021-10-11,1.007063266035764,13310981,358.0,13405000,경기,1
44,8,2021-10-12,1.0070939835431605,13310575,406.0,13405000,경기,1
45,9,2021-10-13,1.007132269562239,13310069,506.0,13405000,경기,1
46,10,2021-10-14,1.0071840284130331,13309385,684.0,13405000,경기,1
47,11,2021-10-15,1.0072298893835414,13308779,606.0,13405000,경기,1
48,12,2021-10-16,1.0072737109451315,13308200,579.0,13405000,경기,1
49,13,2021-10-17,1.0093748851545603,13307711,488.0,13405000,경기,1
50,14,2021-10-18,1.010159497505465,13307353,357.0,13405000,경기,1
51,15,2021-10-19,1.0099373882969085,13306960,392.0,13405000,경기,1
52,16,2021-10-20,1.009145560809758,13306378,581.0,13405000,경기,1
53,17,2021-10-21,1.0093812142570584,13305855,522.0,13405000,경기,1
54,18,2021-10-22,1.0094616032606096,13305343,511.0,13405000,경기,1
55,19,2021-10-23,1.0095004496270812,13304831,511.0,13405000,경기,1
56,20,2021-10-24,1.009524287888072,13304315,515.0,13405000,경기,1
57,21,2021-10-25,1.0101423513059091,13303918,396.0,13405000,경기,1
58,22,2021-10-26,1.0099901185796325,13303490,427.0,13405000,경기,1
59,23,2021-10-27,1.0090606681891576,13302756,733.0,13405000,경기,1
60,24,2021-10-28,1.009166877382924,13302049,706.0,13405000,경기,1
61,25,2021-10-29,1.0077965335107195,13301296,753.0,13405000,경기,1
62,26,2021-10-30,1.00785055812967,13300583,713.0,13405000,경기,1
63,27,2021-10-31,1.0079036033625255,13299883,700.0,13405000,경기,1
64,28,2021-11-01,1.0079460435692855,13299323,560.0,13405000,경기,1
65,29,2021-11-02,1.0079838638363814,13298824,499.0,13405000,경기,1
66,30,2021-11-03,1.0080517048932958,13297929,895.0,13405000,경기,1
67,31,2021-11-04,1.0081175080718965,13297061,868.0,13405000,경기,1
68,32,2021-11-05,1.008173614340388,13296321,740.0,13405000,경기,1
69,33,2021-11-06,1.0082257077774557,13295634,687.0,13405000,경기,1
70,34,2021-11-07,1.0082787166691676,13294935,699.0,13405000,경기,1
71,35,2021-11-08,1.0083195198699122,13294397,538.0,13405000,경기,1
72,0,2021-10-04,1.0033998782142115,3338649,47.0,3350000,경남,2
73,1,2021-10-05,1.003420916503698,3338579,70.0,3350000,경남,2
74,2,2021-10-06,1.0034569841954026,3338459,120.0,3350000,경남,2
75,3,2021-10-07,1.0034855396236,3338364,95.0,3350000,경남,2
76,4,2021-10-08,1.003501771854621,3338310,54.0,3350000,경남,2
77,5,2021-10-09,1.003523115031608,3338239,71.0,3350000,경남,2
78,6,2021-10-10,1.003533336029393,3338205,34.0,3350000,경남,2
79,7,2021-10-11,1.0035432566087068,3338172,33.0,3350000,경남,2
80,8,2021-10-12,1.0035483672867198,3338155,17.0,3350000,경남,2
81,9,2021-10-13,1.0035570856222922,3338126,29.0,3350000,경남,2
