,time_idx,date,value,S,I,PopN,Region,series
0,0,2022-01-22,1.5965475182289317,1501023,55.0,1515000,강원,0
1,1,2022-01-23,1.4766632791689025,1500944,54.0,1515000,강원,0
2,2,2022-01-24,1.384360232158277,1500848,70.0,1515000,강원,0
3,3,2022-01-25,1.3201575577674651,1500695,117.0,1515000,강원,0
4,4,2022-01-26,1.2660546889292998,1500537,126.0,1515000,강원,0
5,5,2022-01-27,1.2182318749281082,1500350,155.0,1515000,강원,0
6,6,2022-01-28,1.1838347424249798,1500139,180.0,1515000,강원,0
7,7,2022-01-29,1.1632534303419462,1499934,178.0,1515000,강원,0
8,8,2022-01-30,1.143108879238816,1499719,190.0,1515000,강원,0
9,9,2022-01-31,1.130951923699739,1499447,243.0,1515000,강원,0
10,10,2022-02-01,1.1213481517753083,1499194,228.0,1515000,강원,0
11,11,2022-02-02,1.109005143516706,1498844,319.0,1515000,강원,0
12,12,2022-02-03,1.0980951156593295,1498377,430.0,1515000,강원,0
13,13,2022-02-04,1.0890648254099065,1497745,587.0,1515000,강원,0
14,14,2022-02-05,1.0791410379367794,1497054,648.0,1515000,강원,0
15,15,2022-02-06,1.0713525716823915,1496271,740.0,1515000,강원,0
16,16,2022-02-07,1.0649663415600377,1495533,702.0,1515000,강원,0
17,17,2022-02-08,1.058081479476207,1494797,705.0,1515000,강원,0
18,18,2022-02-09,1.052129607552184,1493855,908.0,1515000,강원,0
19,19,2022-02-10,1.0474736598139325,1492893,932.0,1515000,강원,0
20,20,2022-02-11,1.0434868118065053,1491810,1054.0,1515000,강원,0
21,21,2022-02-12,1.040107280076258,1490853,935.0,1515000,강원,0
22,22,2022-02-13,1.036949508026218,1489872,962.0,1515000,강원,0
23,23,2022-02-14,1.0357118369616911,1488785,1068.0,1515000,강원,0
24,24,2022-02-15,1.0333750930685257,1487611,1157.0,1515000,강원,0
25,25,2022-02-16,1.032537746840206,1485853,1736.0,1515000,강원,0
26,26,2022-02-17,1.032158350771085,1484126,1708.0,1515000,강원,0
27,27,2022-02-18,1.031767641153961,1482199,1909.0,1515000,강원,0
28,28,2022-02-19,1.0319807761322166,1480401,1783.0,1515000,강원,0
29,29,2022-02-20,1.0320092353669017,1478411,1976.0,1515000,강원,0
30,30,2022-02-21,1.0328265841342248,1476402,1996.0,1515000,강원,0
31,31,2022-02-22,1.0331035577889465,1474347,2044.0,1515000,강원,0
32,32,2022-02-23,1.0346652626706565,1471155,3177.0,1515000,강원,0
33,33,2022-02-24,1.035976268174411,1468035,3108.0,1515000,강원,0
34,34,2022-02-25,1.037737677042027,1464609,3415.0,1515000,강원,0
35,35,2022-02-26,1.0395836974828614,1461351,3249.0,1515000,강원,0
36,0,2022-01-22,1.5975788648634046,13189531,1516.0,13405000,경기,1
37,1,2022-01-23,1.4855437209103417,13186864,1825.0,13405000,경기,1
38,2,2022-01-24,1.396319644777979,13184473,1741.0,13405000,경기,1
39,3,2022-01-25,1.3267951542823988,13181604,2199.0,13405000,경기,1
40,4,2022-01-26,1.2716640487890531,13177420,3347.0,13405000,경기,1
41,5,2022-01-27,1.2284231886473618,13172682,3925.0,13405000,경기,1
42,6,2022-01-28,1.195376238643313,13167539,4380.0,13405000,경기,1
43,7,2022-01-29,1.1710263751587682,13161951,4860.0,13405000,경기,1
44,8,2022-01-30,1.1542689856192287,13156289,4998.0,13405000,경기,1
45,9,2022-01-31,1.1414680219050095,13151225,4522.0,13405000,경기,1
46,10,2022-02-01,1.1294046310715664,13145716,4974.0,13405000,경기,1
47,11,2022-02-02,1.1185113291703528,13139698,5489.0,13405000,경기,1
48,12,2022-02-03,1.108244878863631,13133166,6016.0,13405000,경기,1
49,13,2022-02-04,1.0987604499408012,13125964,6694.0,13405000,경기,1
50,14,2022-02-05,1.0904099217605323,13115545,9766.0,13405000,경기,1
51,15,2022-02-06,1.0827488108083134,13103621,11266.0,13405000,경기,1
52,16,2022-02-07,1.0755623215409358,13093841,9309.0,13405000,경기,1
53,17,2022-02-08,1.0694378166499547,13081718,11616.0,13405000,경기,1
54,18,2022-02-09,1.064164132740207,13068077,13149.0,13405000,경기,1
55,19,2022-02-10,1.0600450702105628,13050339,17188.0,13405000,경기,1
56,20,2022-02-11,1.0566485764615117,13032414,17449.0,13405000,경기,1
57,21,2022-02-12,1.0538304602355684,13016462,15589.0,13405000,경기,1
58,22,2022-02-13,1.051850366758708,12999397,16730.0,13405000,경기,1
59,23,2022-02-14,1.0504032817927251,12983531,15595.0,13405000,경기,1
60,24,2022-02-15,1.0493591255121988,12966295,16981.0,13405000,경기,1
61,25,2022-02-16,1.0494706863685377,12938341,27597.0,13405000,경기,1
62,26,2022-02-17,1.0499058556486098,12909903,28125.0,13405000,경기,1
63,27,2022-02-18,1.0512291459427063,12873396,36162.0,13405000,경기,1
64,28,2022-02-19,1.0523654101398952,12842755,30391.0,13405000,경기,1
65,29,2022-02-20,1.0537993941836743,12811429,31104.0,13405000,경기,1
66,30,2022-02-21,1.0551032271832803,12784652,26610.0,13405000,경기,1
67,31,2022-02-22,1.0567084668089488,12755094,29397.0,13405000,경기,1
68,32,2022-02-23,1.0603737607461536,12701570,53272.0,13405000,경기,1
69,33,2022-02-24,1.0639126957763008,12650253,51112.0,13405000,경기,1
70,34,2022-02-25,1.067257046057306,12602173,47920.0,13405000,경기,1
71,35,2022-02-26,1.070675841741208,12554026,48017.0,13405000,경기,1
72,0,2022-01-22,1.5801778974259302,3327030,137.0,3350000,경남,2
73,1,2022-01-23,1.4690705160888884,3326817,146.0,3350000,경남,2
74,2,2022-01-24,1.3846732862441709,3326597,160.0,3350000,경남,2
75,3,2022-01-25,1.3158397680069265,3326256,261.0,3350000,경남,2
76,4,2022-01-26,1.2585314214989831,3325725,425.0,3350000,경남,2
