,time_idx,date,value,S,I,PopN,Region,series
0,0,2020-05-31,0.0,1514959,0.0,1515000,강원,0
1,1,2020-06-01,0.0,1514959,0.0,1515000,강원,0
2,2,2020-06-02,0.0,1514959,0.0,1515000,강원,0
3,3,2020-06-03,0.0,1514959,0.0,1515000,강원,0
4,4,2020-06-04,0.0,1514959,0.0,1515000,강원,0
5,5,2020-06-05,0.0,1514959,0.0,1515000,강원,0
6,6,2020-06-06,1.0000277235408506,1514958,1.0,1515000,강원,0
7,7,2020-06-07,0.0,1514958,0.0,1515000,강원,0
8,8,2020-06-08,0.0,1514958,0.0,1515000,강원,0
9,9,2020-06-09,0.0,1514958,0.0,1515000,강원,0
10,10,2020-06-10,1.000028383643892,1514957,1.0,1515000,강원,0
11,11,2020-06-11,0.0,1514957,0.0,1515000,강원,0
12,12,2020-06-12,0.0,1514957,0.0,1515000,강원,0
13,13,2020-06-13,0.0,1514957,0.0,1515000,강원,0
14,14,2020-06-14,1.0000290437478052,1514956,1.0,1515000,강원,0
15,15,2020-06-15,0.0,1514956,0.0,1515000,강원,0
16,16,2020-06-16,0.0,1514956,0.0,1515000,강원,0
17,17,2020-06-17,0.0,1514956,0.0,1515000,강원,0
18,18,2020-06-18,0.0,1514956,0.0,1515000,강원,0
19,19,2020-06-19,0.0,1514956,0.0,1515000,강원,0
20,20,2020-06-20,0.0,1514956,0.0,1515000,강원,0
21,21,2020-06-21,1.0000303639582455,1514954,2.0,1515000,강원,0
22,22,2020-06-22,0.0,1514954,0.0,1515000,강원,0
23,23,2020-06-23,0.0,1514954,0.0,1515000,강원,0
24,24,2020-06-24,1.000031024064773,1514953,1.0,1515000,강원,0
25,25,2020-06-25,0.0,1514953,0.0,1515000,강원,0
26,26,2020-06-26,1.0000316841721717,1514952,1.0,1515000,강원,0
27,27,2020-06-27,0.0,1514952,0.0,1515000,강원,0
28,28,2020-06-28,0.0,1514952,0.0,1515000,강원,0
29,29,2020-06-29,0.0,1514952,0.0,1515000,강원,0
30,30,2020-06-30,1.000032344280442,1514951,1.0,1515000,강원,0
31,31,2020-07-01,0.0,1514951,0.0,1515000,강원,0
32,32,2020-07-02,0.0,1514951,0.0,1515000,강원,0
33,33,2020-07-03,0.0,1514951,0.0,1515000,강원,0
