,time_idx,date,value,S,I,PopN,Region,series
0,0,2021-06-16,7.014900296471317,1511775,2.0,1515000,강원,0
1,1,2021-06-17,3.006399761869326,1511769,2.0,1515000,강원,0
2,2,2021-06-18,4.509617540775079,1511760,3.0,1515000,강원,0
3,3,2021-06-19,1.6702386622215166,1511755,1.0,1515000,강원,0
4,4,2021-06-20,13.027904653862564,1511742,4.0,1515000,강원,0
5,5,2021-06-21,1.7537714768789912,1511735,2.0,1515000,강원,0
6,6,2021-06-22,5.010798850327603,1511725,3.0,1515000,강원,0
7,7,2021-06-23,5.678942929434917,1511708,5.0,1515000,강원,0
8,8,2021-06-24,1.0021776692324178,1511703,1.0,1515000,강원,0
9,9,2021-06-25,13.028352791520556,1511690,4.0,1515000,강원,0
10,10,2021-06-26,5.762590213601995,1511667,7.0,1515000,강원,0
11,11,2021-06-27,2.7202703089654383,1511648,5.0,1515000,강원,0
12,12,2021-06-28,3.207095831833866,1511632,5.0,1515000,강원,0
13,13,2021-06-29,1.6035648888089165,1511624,2.0,1515000,강원,0
14,14,2021-06-30,7.015633517329706,1511610,3.0,1515000,강원,0
15,15,2021-07-01,2.6726470452034587,1511602,2.0,1515000,강원,0
16,16,2021-07-02,3.507867811765266,1511595,1.0,1515000,강원,0
17,17,2021-07-03,11.02477846248499,1511584,1.0,1515000,강원,0
18,18,2021-07-04,11.02485869128014,1511573,1.0,1515000,강원,0
19,19,2021-07-05,7.015870222609163,1511566,1.0,1515000,강원,0
20,20,2021-07-06,6.013630896699185,1511560,1.0,1515000,강원,0
21,21,2021-07-07,12.027309534520628,1511548,2.0,1515000,강원,0
22,22,2021-07-08,7.517128136188861,1511533,2.0,1515000,강원,0
23,23,2021-07-09,11.526377525333553,1511510,3.0,1515000,강원,0
24,24,2021-07-10,5.011544746644084,1511495,2.0,1515000,강원,0
25,25,2021-07-11,10.023188961921806,1511475,2.0,1515000,강원,0
26,26,2021-07-12,9.020989430853968,1511457,2.0,1515000,강원,0
27,27,2021-07-13,9.522268910064923,1511438,2.0,1515000,강원,0
28,28,2021-07-14,7.517675220551554,1511423,2.0,1515000,강원,0
29,29,2021-07-15,12.02839972661525,1511399,2.0,1515000,강원,0
30,30,2021-07-16,13.532164570705683,1511372,3.0,1515000,강원,0
31,31,2021-07-17,15.036007018788228,1511327,4.0,1515000,강원,0
32,32,2021-07-18,12.530378931892304,1511277,4.0,1515000,강원,0
33,33,2021-07-19,6.766628487034475,1511250,2.0,1515000,강원,0
34,34,2021-07-20,20.55086848635236,1511209,3.0,1515000,강원,0
35,35,2021-07-21,18.0451545749132,1511155,4.0,1515000,강원,0
36,0,2021-06-16,5.2726587519424,13365369,53.0,13405000,경기,1
37,1,2021-06-17,3.4252207793620597,13365188,52.0,13405000,경기,1
38,2,2021-06-18,2.931784136059003,13365036,43.0,13405000,경기,1
39,3,2021-06-19,3.2888748098065834,13364895,40.0,13405000,경기,1
40,4,2021-06-20,2.7833271417396097,13364784,31.0,13405000,경기,1
41,5,2021-06-21,2.8472516447558336,13364696,24.0,13405000,경기,1
42,6,2021-06-22,3.8448935414118903,13364604,25.0,13405000,경기,1
43,7,2021-06-23,7.22176279970585,13364424,49.0,13405000,경기,1
44,8,2021-06-24,3.766502982630816,13364240,51.0,13405000,경기,1
45,9,2021-06-25,3.52050857876149,13364061,50.0,13405000,경기,1
46,10,2021-06-26,3.711334451406649,13363876,53.0,13405000,경기,1
47,11,2021-06-27,3.236343583225603,13363705,49.0,13405000,경기,1
48,12,2021-06-28,3.213982520993563,13363548,46.0,13405000,경기,1
