,time_idx,date,value,S,I,PopN,Region,series
0,0,2021-10-04,0.7431063316159232,1508630,37.0,1515000,강원,0
1,1,2021-10-05,0.6513874858001648,1508606,24.0,1515000,강원,0
2,2,2021-10-06,1.29714120187776,1508575,31.0,1515000,강원,0
3,3,2021-10-07,0.939468083798372,1508546,29.0,1515000,강원,0
4,4,2021-10-08,1.1081691495857828,1508514,32.0,1515000,강원,0
5,5,2021-10-09,0.8787621460589693,1508486,28.0,1515000,강원,0
6,6,2021-10-10,0.6456331523319219,1508468,18.0,1515000,강원,0
7,7,2021-10-11,0.9485340977291752,1508451,17.0,1515000,강원,0
8,8,2021-10-12,1.654209594907,1508423,28.0,1515000,강원,0
9,9,2021-10-13,0.6097901109777751,1508406,17.0,1515000,강원,0
10,10,2021-10-14,1.29977488507346,1508384,22.0,1515000,강원,0
11,11,2021-10-15,0.958732235051793,1508363,21.0,1515000,강원,0
12,12,2021-10-16,0.908742978788452,1508344,19.0,1515000,강원,0
13,13,2021-10-17,1.2687319408081417,1508320,24.0,1515000,강원,0
14,14,2021-10-18,0.334809589477034,1508312,8.0,1515000,강원,0
15,15,2021-10-19,0.8788798338805234,1508305,7.0,1515000,강원,0
16,16,2021-10-20,3.874263778593473,1508278,27.0,1515000,강원,0
17,17,2021-10-21,1.1532651437231365,1508247,31.0,1515000,강원,0
18,18,2021-10-22,0.5832449322656293,1508229,18.0,1515000,강원,0
19,19,2021-10-23,1.1160993014544431,1508209,20.0,1515000,강원,0
20,20,2021-10-24,0.6529267495420065,1508196,13.0,1515000,강원,0
21,21,2021-10-25,1.5454020768979833,1508176,20.0,1515000,강원,0
22,22,2021-10-26,1.2054296050328344,1508152,24.0,1515000,강원,0
23,23,2021-10-27,0.7952613529670749,1508133,19.0,1515000,강원,0
24,24,2021-10-28,1.1631669927756965,1508111,22.0,1515000,강원,0
25,25,2021-10-29,0.9589057858714404,1508090,21.0,1515000,강원,0
26,26,2021-10-30,1.1959308984022363,1508065,25.0,1515000,강원,0
27,27,2021-10-31,0.9242307194981648,1508042,23.0,1515000,강원,0
28,28,2021-11-01,0.5678252646982557,1508029,13.0,1515000,강원,0
29,29,2021-11-02,2.2410811626403637,1508000,29.0,1515000,강원,0
30,30,2021-11-03,1.0046419098143236,1507971,29.0,1515000,강원,0
31,31,2021-11-04,1.3510961371959065,1507932,39.0,1515000,강원,0
32,32,2021-11-05,0.5667466335454017,1507910,22.0,1515000,강원,0
