,time_idx,date,value,S,I,PopN,Region,series
0,0,2022-01-22,1.0975628035253913,1501023,55.0,1515000,강원,0
1,1,2022-01-23,1.4497385510354666,1500944,54.0,1515000,강원,0
2,2,2022-01-24,1.794426263293856,1500848,70.0,1515000,강원,0
3,3,2022-01-25,2.206324120002254,1500695,117.0,1515000,강원,0
4,4,2022-01-26,1.3632999616160753,1500537,126.0,1515000,강원,0
5,5,2022-01-27,1.4984318153783485,1500350,155.0,1515000,강원,0
6,6,2022-01-28,1.3745824898921437,1500139,180.0,1515000,강원,0
7,7,2022-01-29,1.1501711952470182,1499934,178.0,1515000,강원,0
8,8,2022-01-30,1.219997500114724,1499719,190.0,1515000,강원,0
9,9,2022-01-31,1.446165651874223,1499447,243.0,1515000,강원,0
10,10,2022-02-01,1.0519516055001248,1499194,228.0,1515000,강원,0
11,11,2022-02-02,1.5512721467247348,1498844,319.0,1515000,강원,0
12,12,2022-02-03,1.4797297200637192,1498377,430.0,1515000,강원,0
13,13,2022-02-04,1.486073047316266,1497745,587.0,1515000,강원,0
14,14,2022-02-05,1.190733851832667,1497054,648.0,1515000,강원,0
15,15,2022-02-06,1.222818281772067,1496271,740.0,1515000,강원,0
16,16,2022-02-07,1.0097805848040933,1495533,702.0,1515000,강원,0
17,17,2022-02-08,1.0620802539135334,1494797,705.0,1515000,강원,0
18,18,2022-02-09,1.35422928487308,1493855,908.0,1515000,강원,0
19,19,2022-02-10,1.074467815780468,1492893,932.0,1515000,강원,0
20,20,2022-02-11,1.1792245047593437,1491810,1054.0,1515000,강원,0
21,21,2022-02-12,0.9220839140340032,1490853,935.0,1515000,강원,0
22,22,2022-02-13,1.0661914751878885,1489872,962.0,1515000,강원,0
23,23,2022-02-14,1.148995020616207,1488785,1068.0,1515000,강원,0
24,24,2022-02-15,1.1186068965897198,1487611,1157.0,1515000,강원,0
25,25,2022-02-16,1.5474219877465654,1485853,1736.0,1515000,강원,0
26,26,2022-02-17,1.0143303121689622,1484126,1708.0,1515000,강원,0
27,27,2022-02-18,1.1516902964307356,1482199,1909.0,1515000,강원,0
28,28,2022-02-19,0.96269757072902,1480401,1783.0,1515000,강원,0
29,29,2022-02-20,1.1421811704689162,1478411,1976.0,1515000,강원,0
30,30,2022-02-21,1.0418625898754297,1476402,1996.0,1515000,강원,0
31,31,2022-02-22,1.0564751769018577,1474347,2044.0,1515000,강원,0
32,32,2022-02-23,1.604703920419619,1471155,3177.0,1515000,강원,0
33,33,2022-02-24,1.0113269484750775,1468035,3108.0,1515000,강원,0
34,34,2022-02-25,1.13758163293767,1464609,3415.0,1515000,강원,0
35,35,2022-02-26,0.9868503653832236,1461351,3249.0,1515000,강원,0
36,0,2022-01-22,1.7483697180173254,13189531,1516.0,13405000,경기,1
37,1,2022-01-23,1.787974331762778,13186864,1825.0,13405000,경기,1
38,2,2022-01-24,1.331809162615908,13184473,1741.0,13405000,경기,1
39,3,2022-01-25,1.6754667757708166,13181604,2199.0,13405000,경기,1
40,4,2022-01-26,1.9349288691242792,13177420,3347.0,13405000,경기,1
41,5,2022-01-27,1.4400440399528045,13172682,3925.0,13405000,경기,1
42,6,2022-01-28,1.3334277035064124,13167539,4380.0,13405000,경기,1
43,7,2022-01-29,1.2988066151154645,13161951,4860.0,13405000,경기,1
44,8,2022-01-30,1.186533882632238,13156289,4998.0,13405000,경기,1
45,9,2022-01-31,1.032359262305859,13151225,4522.0,13405000,경기,1
46,10,2022-02-01,1.2417747497382894,13145716,4974.0,13405000,경기,1
47,11,2022-02-02,1.2337551406405314,13139698,5489.0,13405000,경기,1
48,12,2022-02-03,1.2140438687505393,13133166,6016.0,13405000,경기,1
49,13,2022-02-04,1.2219197210005923,13125964,6694.0,13405000,경기,1
50,14,2022-02-05,1.589556390993225,13115545,9766.0,13405000,경기,1
51,15,2022-02-06,1.2479170656562617,13103621,11266.0,13405000,경기,1
52,16,2022-02-07,0.8880646905153727,13093841,9309.0,13405000,경기,1
53,17,2022-02-08,1.3332353807812645,13081718,11616.0,13405000,경기,1
54,18,2022-02-09,1.2033491097023867,13068077,13149.0,13405000,경기,1
55,19,2022-02-10,1.383780029803225,13050339,17188.0,13405000,경기,1
56,20,2022-02-11,1.0712204241472736,13032414,17449.0,13405000,경기,1
57,21,2022-02-12,0.9403435476548972,13016462,15589.0,13405000,경기,1
58,22,2022-02-13,1.127358124618855,12999397,16730.0,13405000,경기,1
59,23,2022-02-14,0.9779465525340558,12983531,15595.0,13405000,경기,1
60,24,2022-02-15,1.141103678619653,12966295,16981.0,13405000,경기,1
61,25,2022-02-16,1.7018905195270368,12938341,27597.0,13405000,경기,1
62,26,2022-02-17,1.067641388672407,12909903,28125.0,13405000,경기,1
63,27,2022-02-18,1.3478062125382868,12873396,36162.0,13405000,경기,1
64,28,2022-02-19,0.8823160561215785,12842755,30391.0,13405000,경기,1
65,29,2022-02-20,1.0758917410672744,12811429,31104.0,13405000,경기,1
66,30,2022-02-21,0.900772086383715,12784652,26610.0,13405000,경기,1
67,31,2022-02-22,1.164683914892759,12755094,29397.0,13405000,경기,1
68,32,2022-02-23,1.9135010480236203,12701570,53272.0,13405000,경기,1
69,33,2022-02-24,1.0166504797886995,12650253,51112.0,13405000,경기,1
70,34,2022-02-25,0.9968026660351256,12602173,47920.0,13405000,경기,1
71,35,2022-02-26,1.0687442802937004,12554026,48017.0,13405000,경기,1
72,0,2022-01-22,2.0616226967126887,3327030,137.0,3350000,경남,2
73,1,2022-01-23,1.5654785681475496,3326817,146.0,3350000,경남,2
74,2,2022-01-24,1.517349828824204,3326597,160.0,3350000,경남,2
75,3,2022-01-25,2.1462435936784647,3326256,261.0,3350000,경남,2
76,4,2022-01-26,2.049005621148616,3325725,425.0,3350000,경남,2
77,5,2022-01-27,1.5500556490778437,3325071,542.0,3350000,경남,2
78,6,2022-01-28,1.106016390576399,3324476,507.0,3350000,경남,2
79,7,2022-01-29,1.3733830813343726,3323785,601.0,3350000,경남,2
80,8,2022-01-30,1.0347193612642516,3323168,545.0,3350000,경남,2
81,9,2022-01-31,1.3706110079905185,3322427,662.0,3350000,경남,2
82,10,2022-02-01,1.287028248269319,3321582,763.0,3350000,경남,2
83,11,2022-02-02,1.180393337702882,3320689,815.0,3350000,경남,2
84,12,2022-02-03,1.1165174944004663,3319787,831.0,3350000,경남,2
85,13,2022-02-04,1.2823231463920233,3318731,981.0,3350000,경남,2
86,14,2022-02-05,1.5228792281048955,3317251,1387.0,3350000,경남,2
87,15,2022-02-06,1.2741720110398036,3315501,1653.0,3350000,경남,2
88,16,2022-02-07,1.0171291762445365,3313837,1584.0,3350000,경남,2
89,17,2022-02-08,1.208755496081638,3311943,1815.0,3350000,경남,2
90,18,2022-02-09,1.0828246269715909,3310000,1873.0,3350000,경남,2
91,19,2022-02-10,1.2649706514743622,3307659,2268.0,3350000,경남,2
92,20,2022-02-11,0.9761828745184244,3305473,2128.0,3350000,경남,2
93,21,2022-02-12,0.8077285193465732,3303777,1657.0,3350000,경남,2
94,22,2022-02-13,1.629606467666608,3301114,2611.0,3350000,경남,2
95,23,2022-02-14,1.0859349594299774,3298320,2746.0,3350000,경남,2
96,24,2022-02-15,1.0226961512834971,3295555,2724.0,3350000,경남,2
97,25,2022-02-16,1.658749882319907,3291110,4388.0,3350000,경남,2
98,26,2022-02-17,1.0385391775856312,3286633,4428.0,3350000,경남,2
99,27,2022-02-18,1.060944562724459,3282024,4565.0,3350000,경남,2
100,28,2022-02-19,0.9869487502875,3277610,4378.0,3350000,경남,2
101,29,2022-02-20,1.187609085662452,3272523,5051.0,3350000,경남,2
102,30,2022-02-21,1.0210403242273298,3267485,5007.0,3350000,경남,2
103,31,2022-02-22,0.98880537495266,3262656,4803.0,3350000,경남,2
104,32,2022-02-23,1.7136362587678784,3254640,7978.0,3350000,경남,2
105,33,2022-02-24,1.1877329038850153,3245434,9169.0,3350000,경남,2
106,34,2022-02-25,1.001035563261935,3236542,8862.0,3350000,경남,2
107,35,2022-02-26,1.0088927795963554,3227904,8615.0,3350000,경남,2
108,0,2022-01-22,1.498317810556742,2637798,126.0,2655000,경북,3
109,1,2022-01-23,1.6535707868023686,2637591,142.0,2655000,경북,3
110,2,2022-01-24,1.5099005114894617,2637378,155.0,2655000,경북,3
111,3,2022-01-25,1.7860480640119627,2637103,211.0,2655000,경북,3
112,4,2022-01-26,2.0899172365349434,2636665,350.0,2655000,경북,3
113,5,2022-01-27,1.3809652940903971,2636185,398.0,2655000,경북,3
114,6,2022-01-28,1.3386321178322989,2635656,451.0,2655000,경북,3
115,7,2022-01-29,1.291002536344373,2635078,503.0,2655000,경북,3
116,8,2022-01-30,1.1798270797713546,2634489,520.0,2655000,경북,3
117,9,2022-01-31,1.1298826685320993,2633906,521.0,2655000,경북,3
118,10,2022-02-01,1.1879410821623606,2633292,554.0,2655000,경북,3
119,11,2022-02-02,1.40316944480377,2632521,703.0,2655000,경북,3
120,12,2022-02-03,1.3327634378850464,2631592,856.0,2655000,경북,3
121,13,2022-02-04,1.3436218403085691,2630452,1060.0,2655000,경북,3
122,14,2022-02-05,1.414017331234758,2628967,1392.0,2655000,경북,3
123,15,2022-02-06,1.2631034651961044,2627226,1645.0,2655000,경북,3
124,16,2022-02-07,1.0345304472298156,2625542,1603.0,2655000,경북,3
125,17,2022-02-08,0.9733700052477368,2623999,1478.0,2655000,경북,3
126,18,2022-02-09,1.3369915715229728,2622046,1883.0,2655000,경북,3
127,19,2022-02-10,0.974926113135176,2620233,1757.0,2655000,경북,3
128,20,2022-02-11,1.1095782105520309,2618309,1873.0,2655000,경북,3
129,21,2022-02-12,0.9891095540711854,2616482,1785.0,2655000,경북,3
130,22,2022-02-13,1.1630923063998198,2614436,2006.0,2655000,경북,3
131,23,2022-02-14,0.9648914943121688,2612530,1873.0,2655000,경북,3
132,24,2022-02-15,0.9522315848958623,2610775,1729.0,2655000,경북,3
133,25,2022-02-16,1.6839199212450957,2607912,2826.0,2655000,경북,3
134,26,2022-02-17,1.043993551968744,2605014,2866.0,2655000,경북,3
135,27,2022-02-18,1.1667679960300896,2601733,3250.0,2655000,경북,3
136,28,2022-02-19,0.9984942285066856,2598553,3154.0,2655000,경북,3
137,29,2022-02-20,1.082624130670122,2595211,3318.0,2655000,경북,3
138,30,2022-02-21,1.0008384598048097,2591965,3226.0,2655000,경북,3
139,31,2022-02-22,0.9887571516452444,2588851,3097.0,2655000,경북,3
140,32,2022-02-23,1.6530684653650105,2583859,4968.0,2655000,경북,3
